# Auto-extracted from RangeConverter PDF for mtt_8max_30bb_co_unopened
# Source: rangeconverter.com/free-poker-charts (free MTT pack)
# Auto-extracted via pixel sampling (rfi). Verify against stated VPIP.
notation,action,freq
AA,fold,1.0
AKs,fold,1.0
AQs,fold,1.0
AJs,fold,1.0
ATs,fold,1.0
A9s,fold,1.0
A8s,fold,1.0
A7s,fold,1.0
A6s,fold,1.0
A5s,fold,1.0
A4s,fold,1.0
A3s,fold,1.0
A2s,fold,1.0
AKo,fold,1.0
KK,fold,1.0
KQs,fold,1.0
KJs,fold,1.0
KTs,fold,1.0
K9s,fold,1.0
K8s,fold,1.0
K7s,fold,1.0
K6s,fold,1.0
K5s,fold,1.0
K4s,fold,1.0
K3s,fold,1.0
K2s,fold,1.0
AJo,fold,1.0
KJo,fold,1.0
QJo,fold,1.0
JJ,fold,1.0
JTs,fold,1.0
J9s,raise,1.0
J8s,raise,1.0
J7s,raise,1.0
J6s,raise,1.0
J5s,raise,1.0
J4s,fold,1.0
J3s,fold,1.0
J2s,fold,1.0
ATo,fold,1.0
KTo,fold,1.0
QTo,fold,1.0
JTo,fold,1.0
TT,fold,1.0
T9s,raise,1.0
T8s,raise,1.0
T7s,raise,1.0
T6s,raise,1.0
T5s,raise,1.0
T4s,fold,1.0
T3s,fold,1.0
T2s,fold,1.0
A9o,fold,1.0
K9o,fold,1.0
Q9o,fold,1.0
J9o,fold,1.0
T9o,fold,1.0
99,raise,1.0
98s,raise,1.0
97s,raise,1.0
96s,raise,1.0
95s,raise,1.0
94s,fold,1.0
93s,fold,1.0
92s,fold,1.0
A8o,fold,1.0
K8o,fold,1.0
Q8o,fold,1.0
J8o,fold,1.0
T8o,fold,1.0
98o,raise,1.0
88,raise,1.0
87s,raise,1.0
86s,raise,1.0
85s,raise,1.0
84s,fold,1.0
83s,fold,1.0
82s,fold,1.0
A7o,fold,1.0
K7o,fold,1.0
Q7o,fold,1.0
J7o,fold,1.0
T7o,fold,1.0
97o,raise,1.0
87o,raise,1.0
77,raise,1.0
76s,raise,1.0
75s,raise,1.0
74s,fold,1.0
73s,fold,1.0
72s,fold,1.0
A6o,fold,1.0
K6o,fold,1.0
Q6o,fold,1.0
J6o,fold,1.0
T6o,fold,1.0
96o,raise,1.0
86o,raise,1.0
76o,raise,1.0
66,raise,1.0
65s,raise,1.0
64s,fold,1.0
63s,fold,1.0
62s,fold,1.0
A5o,fold,1.0
K5o,fold,1.0
Q5o,fold,1.0
J5o,fold,1.0
T5o,fold,1.0
95o,raise,1.0
85o,raise,1.0
75o,raise,1.0
65o,raise,1.0
55,raise,1.0
54s,fold,1.0
53s,fold,1.0
52s,fold,1.0
A4o,fold,1.0
K4o,fold,1.0
Q4o,fold,1.0
J4o,fold,1.0
T4o,fold,1.0
94o,raise,1.0
84o,raise,1.0
74o,raise,1.0
64o,raise,1.0
54o,raise,1.0
44,fold,1.0
43s,fold,1.0
42s,fold,1.0
A3o,fold,1.0
K3o,fold,1.0
Q3o,fold,1.0
J3o,fold,1.0
T3o,fold,1.0
93o,raise,1.0
83o,raise,1.0
73o,raise,1.0
63o,raise,1.0
53o,raise,1.0
43o,fold,1.0
33,fold,1.0
32s,fold,1.0
A2o,fold,1.0
K2o,fold,1.0
Q2o,fold,1.0
J2o,fold,1.0
T2o,fold,1.0
92o,raise,1.0
82o,raise,1.0
72o,raise,1.0
62o,raise,1.0
52o,raise,1.0
42o,fold,1.0
32o,fold,1.0
22,fold,1.0
