# Auto-extracted from RangeConverter PDF for mtt_8max_20bb_btn_unopened
# Source: rangeconverter.com/free-poker-charts (free MTT pack)
# Auto-extracted via pixel sampling (rfi). Verify against stated VPIP.
notation,action,freq
AA,fold,1.0
AKs,fold,1.0
AQs,fold,1.0
AJs,fold,1.0
ATs,fold,1.0
A9s,fold,1.0
A8s,fold,1.0
A7s,fold,1.0
A6s,fold,1.0
A5s,fold,1.0
A4s,fold,1.0
A3s,fold,1.0
A2s,fold,1.0
AKo,fold,1.0
KK,fold,1.0
KQs,fold,1.0
KJs,fold,1.0
KTs,fold,1.0
K9s,fold,1.0
K8s,fold,1.0
K7s,fold,1.0
K6s,fold,1.0
K5s,fold,1.0
K4s,fold,1.0
K3s,fold,1.0
K2s,fold,1.0
AQo,fold,1.0
KQo,fold,1.0
QQ,fold,1.0
QJs,fold,1.0
QTs,fold,1.0
Q9s,fold,1.0
Q8s,fold,1.0
Q7s,fold,1.0
Q6s,fold,1.0
Q5s,fold,1.0
Q4s,fold,1.0
Q3s,fold,1.0
Q2s,fold,1.0
T8s,fold,1.0
T7s,fold,1.0
T6s,fold,1.0
T5s,fold,1.0
A9o,raise,1.0
K9o,raise,1.0
Q9o,raise,1.0
J9o,raise,1.0
98s,fold,1.0
97s,fold,1.0
96s,fold,1.0
95s,fold,0.5
95s,raise,0.5
94s,raise,1.0
93s,raise,1.0
92s,raise,1.0
A8o,raise,1.0
K8o,raise,1.0
Q8o,raise,1.0
J8o,raise,1.0
88,fold,1.0
87s,fold,1.0
86s,fold,1.0
85s,fold,0.5
85s,raise,0.5
84s,raise,1.0
83s,raise,1.0
82s,raise,1.0
A7o,raise,1.0
K7o,raise,1.0
Q7o,raise,1.0
J7o,raise,1.0
87o,fold,1.0
77,fold,1.0
76s,fold,1.0
75s,fold,0.5
75s,raise,0.5
74s,raise,1.0
73s,raise,1.0
72s,raise,1.0
A6o,raise,1.0
K6o,raise,1.0
Q6o,raise,1.0
J6o,raise,1.0
96o,raise,1.0
86o,fold,1.0
76o,fold,1.0
66,fold,1.0
65s,fold,0.5
65s,raise,0.5
64s,raise,1.0
63s,raise,1.0
62s,raise,1.0
A5o,raise,1.0
K5o,raise,1.0
Q5o,raise,1.0
J5o,raise,1.0
85o,fold,1.0
75o,fold,1.0
65o,fold,1.0
55,fold,0.5
55,raise,0.5
54s,raise,1.0
53s,raise,1.0
52s,raise,1.0
A4o,raise,1.0
K4o,raise,1.0
Q4o,raise,1.0
J4o,raise,1.0
84o,fold,1.0
74o,fold,1.0
64o,fold,1.0
54o,fold,0.5
54o,raise,0.5
44,raise,1.0
43s,raise,1.0
42s,raise,1.0
A3o,raise,1.0
K3o,raise,1.0
Q3o,raise,1.0
J3o,raise,1.0
83o,fold,1.0
73o,fold,1.0
63o,fold,1.0
53o,fold,0.5
53o,raise,0.5
43o,raise,1.0
33,raise,1.0
32s,raise,1.0
A2o,raise,1.0
K2o,raise,1.0
Q2o,raise,1.0
J2o,raise,1.0
82o,fold,1.0
72o,fold,1.0
62o,fold,1.0
52o,fold,0.5
52o,raise,0.5
42o,raise,1.0
32o,raise,1.0
22,raise,1.0
